GET /chat 200 [18/Apr/2025:19:28:04 +0000] - 345.857 ms localhost
GET /@vite/client 200 [18/Apr/2025:19:28:06 +0000] - 1628.699 ms localhost
GET /styles.css 200 [18/Apr/2025:19:28:06 +0000] - 1586.771 ms localhost
GET /polyfills.js 200 [18/Apr/2025:19:28:06 +0000] - 1400.027 ms localhost
GET /main.js 200 [18/Apr/2025:19:28:06 +0000] - 1330.382 ms localhost
GET /scripts.js 200 [18/Apr/2025:19:28:06 +0000] - 267.953 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 200 [18/Apr/2025:19:28:07 +0000] - 52.040 ms localhost
GET /chunk-JK2OZDZD.js 200 [18/Apr/2025:19:28:07 +0000] - 47.985 ms localhost
GET /chunk-JSSMBHFL.js 200 [18/Apr/2025:19:28:07 +0000] - 181.692 ms localhost
GET /chunk-DS2VOW6E.js 200 [18/Apr/2025:19:28:07 +0000] - 171.280 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_platform-browser.js?v=ffa03c27 200 [18/Apr/2025:19:28:07 +0000] - 86.280 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_core.js?v=ffa03c27 200 [18/Apr/2025:19:28:07 +0000] - 105.897 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_router.js?v=ffa03c27 200 [18/Apr/2025:19:28:07 +0000] - 140.910 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common_http.js?v=ffa03c27 200 [18/Apr/2025:19:28:07 +0000] - 72.796 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/rxjs.js?v=ffa03c27 200 [18/Apr/2025:19:28:08 +0000] - 26.569 ms localhost
